model,trial,truth_sine_covariance,rb_normalized_estimate,ramsey_estimate
rtn,0,0.38330514232627905,0.336028091550812,0.372072234867126
rtn,1,0.38330514232627905,0.3444278747078002,0.41425185316190943
rtn,2,0.38330514232627905,0.28778340497354826,0.4099957323449803
rtn,3,0.38330514232627905,0.44229270154096945,0.3964516947588583
rtn,4,0.38330514232627905,0.41341898760457674,0.38019423597440943
rtn,5,0.38330514232627905,0.4720379686731053,0.40922005720964566
rtn,6,0.38330514232627905,0.47635464405450295,0.4194912647637795
rtn,7,0.38330514232627905,0.43915035217765747,0.3541423166830709
rtn,8,0.38330514232627905,0.38763571911909445,0.3962815652682087
rtn,9,0.38330514232627905,0.3319860743725394,0.4133531465305118
rtn,10,0.38330514232627905,0.2848659725639764,0.3263333538385827
rtn,11,0.38330514232627905,0.3818203182671014,0.3654881274606299
rtn,12,0.38330514232627905,0.3262939453125,0.3755324956938976
rtn,13,0.38330514232627905,0.35882039708415353,0.45339797613188976
rtn,14,0.38330514232627905,0.45987082654096945,0.37705308809055116
rtn,15,0.38330514232627905,0.2840073953463337,0.3708034725639764
rtn,16,0.38330514232627905,0.35500545952263785,0.3609994002214567
rtn,17,0.38330514232627905,0.30636284295029526,0.3893331692913386
rtn,18,0.38330514232627905,0.5092552365280512,0.4142172505536417
rtn,19,0.38330514232627905,0.44532691775344485,0.37328332615649606
rtn,20,0.38330514232627905,0.27367635411540353,0.39724563238188976
rtn,21,0.38330514232627905,0.42440315306656,0.41312150129183073
rtn,22,0.38330514232627905,0.3545945535494587,0.4048793522391732
rtn,23,0.38330514232627905,0.5064134973240649,0.3878337229330709
rtn,24,0.38330514232627905,0.23845522422490156,0.3404925489050197
rtn,25,0.38330514232627905,0.5741199883889025,0.42532853254183073
rtn,26,0.38330514232627905,0.28368299589382384,0.36543814591535434
rtn,27,0.38330514232627905,0.3487813153604823,0.3788053257258858
rtn,28,0.38330514232627905,0.30401635357714074,0.37129079263041337
rtn,29,0.38330514232627905,0.342256561039001,0.36287274698572836
rtn,30,0.38330514232627905,0.28915020800012303,0.3754036970964567
rtn,31,0.38330514232627905,0.3797376737819882,0.36122143362450787
rtn,32,0.38330514232627905,0.4941079447588583,0.3706198865034449
rtn,33,0.38330514232627905,0.4099046602023868,0.372069351316437
rtn,34,0.38330514232627905,0.5382111316590797,0.3566019854207677
rtn,35,0.38330514232627905,0.31506323626660926,0.38045279435285434
rtn,36,0.38330514232627905,0.3252753310316191,0.3428445650836614
rtn,37,0.38330514232627905,0.4822219488188977,0.35217669629675197
